nom_gare,frequentation_2019,frequentation_2020,frequentation_2021,frequentation_2022,latitude,longitude
Paris Austerlitz,21682820,13203603,22281301,19055908,48.840609,2.366563
Paris Bercy,4318464,2498330,3347763,3388185,48.840889,2.381641
Paris Est,41240098,21580625,27758686,30193136,48.876576,2.359084
Paris Gare de Lyon,112644337,55824824,79986275,82818478,48.844512,2.373522
Paris Gare du Nord,244759909,92236287,126622180,154539458,48.880931,2.355158
Paris Montparnasse,61374035,32439307,41043477,44952273,48.840847,2.319543
Paris Saint-Lazare,107340421,114468385,91502192,104436999,48.876141,2.32619
